BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,YEAR
3,BATH BEACH,01 ONE FAMILY DWELLINGS,12,"850,000","1,199,083","1,107,500","1,960,000",2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,44,"350,000","1,191,661","1,252,000","1,880,000",2024
3,BATH BEACH,03 THREE FAMILY DWELLINGS,17,"200,000","1,632,485","1,630,000","2,907,104",2024
3,BAY RIDGE,01 ONE FAMILY DWELLINGS,114,"220,000","1,432,471","1,280,000","4,600,000",2024
3,BAY RIDGE,02 TWO FAMILY DWELLINGS,112,"200,000","1,379,810","1,337,500","4,600,000",2024
3,BAY RIDGE,03 THREE FAMILY DWELLINGS,12,"780,000","1,462,259","1,457,500","2,072,109",2024
3,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,34,"341,579","1,915,611","1,900,000","4,575,000",2024
3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,186,"200,000","1,624,422","1,500,000","5,000,000",2024
3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,106,"400,000","1,733,399","1,606,000","3,600,000",2024
3,BENSONHURST,01 ONE FAMILY DWELLINGS,39,"720,000","1,080,038","1,080,000","1,513,000",2024
3,BENSONHURST,02 TWO FAMILY DWELLINGS,94,"269,000","1,346,173","1,355,000","1,980,000",2024
3,BENSONHURST,03 THREE FAMILY DWELLINGS,35,"288,334","1,520,404","1,600,000","2,200,000",2024
3,BERGEN BEACH,01 ONE FAMILY DWELLINGS,42,"318,000","802,745","787,835","1,525,000",2024
3,BERGEN BEACH,02 TWO FAMILY DWELLINGS,27,"200,000","980,648","980,000","1,250,000",2024
3,BERGEN BEACH,03 THREE FAMILY DWELLINGS,7,"300,000","964,286","1,015,000","1,325,000",2024
3,BOERUM HILL,01 ONE FAMILY DWELLINGS,6,"2,500,000","3,797,696","3,887,589","5,675,000",2024
3,BOERUM HILL,02 TWO FAMILY DWELLINGS,20,"1,500,000","9,845,650","3,730,000","25,000,000",2024
3,BOERUM HILL,03 THREE FAMILY DWELLINGS,5,"2,420,000","3,276,005","2,700,000","5,360,000",2024
3,BOROUGH PARK,01 ONE FAMILY DWELLINGS,42,"645,000","1,675,548","1,450,000","4,500,000",2024
3,BOROUGH PARK,02 TWO FAMILY DWELLINGS,172,"200,000","1,919,957","1,700,000","6,000,000",2024
3,BOROUGH PARK,03 THREE FAMILY DWELLINGS,84,"283,920","2,168,688","1,900,000","5,550,000",2024
