BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,YEAR
3,BATH BEACH,01 ONE FAMILY DWELLINGS,12,850000,1199083,1107500,1960000,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,44,350000,1191661,1252000,1880000,2024
3,BATH BEACH,03 THREE FAMILY DWELLINGS,17,200000,1632485,1630000,2907104,2024
3,BAY RIDGE,01 ONE FAMILY DWELLINGS,114,220000,1432471,1280000,4600000,2024
3,BAY RIDGE,02 TWO FAMILY DWELLINGS,112,200000,1379810,1337500,4600000,2024
3,BAY RIDGE,03 THREE FAMILY DWELLINGS,12,780000,1462259,1457500,2072109,2024
3,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,34,341579,1915611,1900000,4575000,2024
3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,186,200000,1624422,1500000,5000000,2024
3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,106,400000,1733399,1606000,3600000,2024
3,BENSONHURST,01 ONE FAMILY DWELLINGS,39,720000,1080038,1080000,1513000,2024
3,BENSONHURST,02 TWO FAMILY DWELLINGS,94,269000,1346173,1355000,1980000,2024
3,BENSONHURST,03 THREE FAMILY DWELLINGS,35,288334,1520404,1600000,2200000,2024
3,BERGEN BEACH,01 ONE FAMILY DWELLINGS,42,318000,802745,787835,1525000,2024
3,BERGEN BEACH,02 TWO FAMILY DWELLINGS,27,200000,980648,980000,1250000,2024
3,BERGEN BEACH,03 THREE FAMILY DWELLINGS,7,300000,964286,1015000,1325000,2024
3,BOERUM HILL,01 ONE FAMILY DWELLINGS,6,2500000,3797696,3887589,5675000,2024
3,BOERUM HILL,02 TWO FAMILY DWELLINGS,20,1500000,9845650,3730000,25000000,2024
3,BOERUM HILL,03 THREE FAMILY DWELLINGS,5,2420000,3276005,2700000,5360000,2024
3,BOROUGH PARK,01 ONE FAMILY DWELLINGS,42,645000,1675548,1450000,4500000,2024
3,BOROUGH PARK,02 TWO FAMILY DWELLINGS,172,200000,1919957,1700000,6000000,2024
3,BOROUGH PARK,03 THREE FAMILY DWELLINGS,84,283920,2168688,1900000,5550000,2024
3,BRIGHTON BEACH,01 ONE FAMILY DWELLINGS,12,200000,599417,625000,999000,2024
3,BRIGHTON BEACH,02 TWO FAMILY DWELLINGS,15,450000,873917,875000,1235000,2024
3,BRIGHTON BEACH,03 THREE FAMILY DWELLINGS,8,800566,1070703,1084781,1400000,2024
