BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,YEAR
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6361,15,,A5,59 BAY 10TH STREET,,11228,1,0,1,1933,1660,1930,1.00,A5,1185000,8/8/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6372,39,,A9,8629 19TH AVENUE,,11214,1,0,1,2417,1944,1930,1,A9,0,12/5/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6376,13,,A9,69 BAY 25TH STREET,,11214,1,0,1,2868,2330,1915,1,A9,1360000,5/6/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6395,20,,A5,135 BAY 10TH STREET,,11228,1,0,1,2417,2000,1935,1,A5,0,1/12/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6398,39,,A1,1638 BENSON AVENUE,,11214,1,0,1,3625,1825,1925,1,A1,0,6/21/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6401,6,,S1,1735 BATH AVENUE,,11214,1,1,2,1112,1520,1920,1,S1,0,9/27/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6402,23,,A5,121 BAY 17 STREET,,11214,1,0,1,1619,912,1910,1,A5,0,11/27/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6412,8,,S1,2107 BATH AVENUE,,11214,1,1,2,835,1462,1930,1,S1,958000,5/10/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6426,34,,A5,185 BAY 8TH STREET,,11228,1,0,1,1933,1562,1920,1,A5,0,5/29/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6427,21,,A1,8805 15TH AVENUE,,11228,1,0,1,4559,1440,1920,1,A1,1545000,6/10/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6428,65,,A5,228 BAY 11TH STREET,,11228,1,0,1,1990,1328,1925,1,A5,850000,1/30/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,25,,A1,195 BAY 11TH STREET,,11228,1,0,1,3867,1372,1910,1,A1,0,6/17/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6444,8,,A5,217 BAY 26TH STREET,,11214,1,0,1,1740,1674,1955,1,A5,992000,1/4/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6459,76,,A5,8926 15TH AVENUE,,11228,1,0,1,2900,2286,1910,1,A5,1325000,10/15/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,9,,A5,8927 15 AVENUE,,11228,1,0,1,1740,1674,1960,1,A5,999000,12/4/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,59,,A1,284 BAY 10TH STREET,,11228,1,0,1,3867,2007,1925,1,A1,1960000,12/13/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,64,,A5,294 BAY 10TH STREET,,11228,1,0,1,1933,1152,1920,1,A5,1205000,10/30/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,79,,A5,311 BAY 14TH STREET,,11214,1,0,1,1511,992,1950,1,A5,0,10/18/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,101,,A5,259 BAY 14TH STREET,,11214,1,0,1,1795,1152,1930,1,A5,0,1/9/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,110,,A5,260 BAY 14TH STREET,,11214,1,0,1,1795,1204,1930,1,A5,0,11/4/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,254,,A5,294 BAY 13TH STREET,,11214,1,0,1,1649,928,1945,1,A5,0,7/8/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,266,,A5,243 BAY 13TH STREET,,11214,1,0,1,2060,1240,1940,1,A5,1030000,5/15/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,301,,A5,317 BAY 13TH STREET,,11214,1,0,1,1619,928,1940,1,A5,0,4/25/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,305,,A5,325 BAY 13TH STREET,,11214,1,0,1,1619,928,1940,1,A5,0,8/8/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6463,108,,A5,8893 18TH AVENUE,,11214,1,0,1,1456,992,1950,1,A5,0,9/18/2024,2024
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,75,,A5,224 BAY 23RD STREET,,11214,1,0,1,1983,1420,1945,1,A5,980000,5/28/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,46,,B1,24 BAY 7TH STREET,,11228,2,0,2,2320,2160,1930,1,B1,1655000,6/11/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,47,,B1,26 BAY 7TH STREET,,11228,2,0,2,2320,2160,1930,1,B1,0,6/21/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,19,,B1,31 BAY 7TH STREET,,11228,2,0,2,2320,2160,1930,1,B1,0,8/16/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,22,,B1,23 BAY 7TH STREET,,11228,2,0,2,2320,2160,1930,1,B1,1560000,6/20/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,5,,B1,75 BAY 8TH STREET,,11228,2,0,2,2320,2160,1930,1,B1,0,2/8/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,41,,S2,1484 86 STREET,,11228,2,1,3,1600,3040,1931,1,S2,1603200,5/15/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,20,,B3,8651 15TH AVENUE,,11228,2,0,2,1547,1428,1930,1,B3,150000,6/4/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,25,,B1,8637 15TH AVENUE,,11228,2,0,2,2312,2160,1930,1,B1,0,11/5/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,28,,B3,29 BAY 10TH STREET,,11228,2,0,2,2103,1622,1930,1,B3,925000,3/29/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6363,18,,B3,8655 16TH AVENUE,,11214,2,0,2,2167,1568,1930,1,B3,0,12/16/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6363,21,,B3,8647 16TH AVENUE,,11214,2,0,2,2058,1492,1930,1,B3,888000,5/16/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6365,7,,B1,1661 BENSON AVENUE,,11214,2,0,2,1800,2048,1910,1,B1,0,7/16/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6365,10,,S2,1653 BENSON AVENUE,,11214,2,1,3,1800,3920,1910,1,S2,980000,2/26/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,3,,B1,1717 BENSON AVENUE,,11214,2,0,2,2558,2320,1925,1,B1,0,11/8/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,74,,B1,58 BAY 19TH ST,,11214,2,0,2,1670,2032,1930,1,B1,0,5/7/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,93,,B3,106 BAY 19TH STREET,,11214,2,0,2,1265,1260,1935,1,B3,0,10/25/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6372,78,,B3,66 BAY 22ND STREET,,11214,2,0,2,4833,2536,1930,1,B3,0,1/19/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6372,78,,B3,66 BAY 22ND STREET,,11214,2,0,2,4833,2536,1930,1,B3,1350000,3/8/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6372,78,,B3,66 BAY 22ND STREET,,11214,2,0,2,4833,2536,1930,1,B3,1700000,12/17/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6373,72,,B3,48 BAY 23RD,,11214,2,0,2,2417,1672,1930,1,B3,0,5/31/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6373,72,,B3,48 BAY 23RD STREET,,11214,2,0,2,2417,1672,1930,1,B3,0,11/8/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6374,84,,B2,8674 20TH AVENUE,,11214,2,0,2,3223,2660,1930,1,B2,1880000,8/6/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6377,61,,B1,8646 21ST AVENUE,,11214,2,0,2,1933,2090,1960,1,B1,0,6/24/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6378,14,,B9,8669 21ST AVENUE,,11214,2,0,2,1933,2100,1960,1,B9,0,11/27/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6378,55,,B1,28 BAY 28TH STREET,,11214,2,0,2,1933,2888,1940,1,B1,1280000,8/21/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6379,6,,B1,83 BAY 28TH ST,,11214,2,0,2,2288,2560,1910,1,B1,0,3/4/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6391,11,,B1,8759 14 AVENUE,,11228,2,0,2,1701,2025,1950,1,B1,1255000,12/17/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6391,73,,B1,154 BAY 7TH STREET,,11228,2,0,2,1933,2003,1955,1,B1,1280000,12/11/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,32,,B1,109 BAY 8TH STREET,,11228,2,0,2,2296,2160,1940,1,B1,1400000,6/27/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,69,,B3,8746 15TH AVENUE,,11228,2,0,2,1933,1480,1920,1,B3,0,11/4/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,28,,B1,8715 15TH AVENUE,,11228,2,0,2,2336,2160,1940,1,B1,1400000,11/20/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,50,,B2,106 BAY 10TH STREET,,11228,2,0,2,2707,1736,1920,1,B2,1342000,5/23/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6397,33,,B3,8707 16TH AVENUE,,11214,2,0,2,2708,2120,1925,1,B3,1450000,3/5/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6397,36,,B1,8697 16TH AVENUE,,11214,2,0,2,2492,2240,1925,1,B1,1650000,5/20/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,52,,B1,118 BAY 14TH STREET,,11214,2,0,2,2167,2288,1925,1,B1,1310000,7/23/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6399,63,,B2,8728 17TH AVENUE,,11214,2,0,2,2004,1828,1930,1,B2,0,7/12/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6408,32,,B2,8720 20TH AVENUE,,11214,2,0,2,3852,2819,1899,1,B2,0,3/8/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6409,10,,B1,8735 20 AVE,,11214,2,0,2,1933,2125,1950,1,B1,1200000,9/13/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,9,,B9,1403 CROPSEY AVENUE,,11228,2,0,2,1885,1765,1935,1,B9,990000,5/30/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,14,,B9,8831 14 AVENUE,,11228,2,0,2,2078,1802,1935,1,B9,1080000,12/6/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,24,,B9,8809 14TH AVENUE,,11228,2,0,2,2070,1802,1935,1,B9,0,11/11/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,66,,B3,220 BAY 7TH ST,,11228,2,0,2,2127,1722,1935,1,B3,350000,5/29/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6425,34,,B1,185 BAY 7TH STREET,,11228,2,0,2,1917,2018,1955,1,B1,0,4/23/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6425,69,,B1,230 BAY 8TH STREET,,11228,2,0,2,1933,2807,1955,1,B1,0,5/28/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,19,,B2,219 BAY 8TH STREET,,11228,2,0,2,1933,2048,1930,1,B2,0,8/22/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,32,,B3,187 BAY 8TH STREET,,11228,2,0,2,3867,1456,1920,1,B3,0,11/19/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6429,16,,B1,221 BAY 11TH STREET,,11228,2,0,2,2433,2280,1935,1,B1,1395000,3/18/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6429,41,,S2,1564 BATH AVENUE,,11228,2,1,3,1600,4400,1920,1,S2,0,11/21/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6429,65,,B1,8824 16 AVENUE,,11214,2,0,2,2053,2872,1960,1,B1,1580000,1/9/2024,2024
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6431,16,,B2,219 BAY 13TH STREET,,11214,2,0,2,1530,2040,1920,1,B2,0,8/20/2024,2024
